stage,requirement_total
966,759.4
967,940.5
968,977.6
969,1006.3
970,1025.0
971,1028.6
972,1035.6
973,1040.0
974,1036.3
975,1032.5
976,1036.1
977,1047.2
978,1083.7
979,1257.5
980,1290.8
981,1225.6
982,1153.9
983,834.7
984,780.5
985,747.6
986,729.4
987,721.0
988,719.4
989,730.1
990,756.6
991,962.0
992,1000.0
993,1032.9
994,1055.2
995,1060.3
996,1069.9
997,1068.7
998,1064.7
999,1072.1
1000,1075.2
1001,1074.7
1002,1132.1
1003,1308.1
1004,1286.5
1005,1237.8
1006,1151.9
1007,843.4
1008,782.2
1009,748.7
1010,730.7
1011,722.2
1012,720.9
1013,732.6
1014,762.5
1015,941.6
1016,980.4
1017,1014.4
1018,1034.5
1019,1041.4
1020,1052.0
1021,1052.9
1022,1046.5
1023,1049.7
1024,1054.0
1025,1056.7
1026,1119.3
1027,1375.4
1028,1347.1
1029,1282.1
1030,1205.6
1031,834.4
1032,783.2
1033,733.8
1034,729.3
1035,719.1
1036,717.4
1037,728.6
1038,758.3
1039,987.2
1040,1021.8
1041,1059.6
1042,1083.9
1043,1086.4
1044,1095.0
1045,1096.6
1046,1090.6
1047,1093.1
1048,1097.7
1049,1101.3
1050,1145.5
1051,1395.8
1052,1386.5
1053,1341.8
1054,1249.1
1055,851.2
1056,795.6
1057,739.65
1058,717.56
1059,714.47
1060,712.86
1061,722.96
1062,751.51
1063,954.41
1064,980.4100000000001
1065,1014.95
1066,1035.1
1067,1039.1
1068,1049.41
1069,1049.53
1070,1041.05
1071,1053.48
1072,1057.98
1073,1046.69
1074,1070.65
1075,1341.87
1076,1361.02
1077,1291.0700000000002
1078,1203.48
1079,826.5
1080,770.12
1081,739.62
1082,722.73
1083,715.68
1084,714.61
1085,725.48
1086,759.17
1087,949.44
1088,976.77
1089,1010.9
1090,1027.13
1091,1037.96
1092,1041.75
1093,1037.05
1094,1042.67
1095,1045.13
1096,1038.54
1097,1030.99
1098,1028.73
1099,1293.27
1100,1375.42
1101,1322.3200000000002
1102,1219.94
1103,839.63
1104,779.29
1105,771.6
1106,752.62
1107,744.72
1108,742.43
1109,752.81
1110,767.66
1111,1007.03
1112,1042.54
1113,1061.55
1114,1094.83
1115,1109.59
1116,1117.65
1117,1116.55
1118,1104.66
1119,1110.66
1120,1116.81
1121,1117.08
1122,1119.02
1123,1326.6599999999999
1124,1400.0
1125,1382.98
1126,1283.55
1127,1169.46
1128,1104.55
1129,806.12
1130,785.31
1131,775.26
1132,766.1800000000001
1133,775.17
1134,784.78
1135,1012.38
1136,1060.21
1137,1098.43
1138,1122.46
1139,1138.73
1140,1143.66
1141,1143.88
1142,1137.43
1143,1146.21
1144,1146.67
1145,1125.63
1146,1137.53
1147,1327.62
1148,1400.0
1149,1400.0
1150,1309.99
1151,1194.67
1152,1137.8600000000001
1153,777.6
1154,757.8
1155,747.7
1156,744.2
1157,753.6
1158,770.2
1159,1000.3
1160,1040.2
1161,1075.0
1162,1093.0
1163,1103.3
1164,1117.5
1165,1114.1
1166,1108.4
1167,1111.8
1168,1116.2
1169,1108.0
1170,1108.9
1171,1292.6
1172,1399.8
1173,1338.6
1174,1254.3
1175,1163.5
1176,1103.3
1177,743.3
1178,726.4
1179,717.9
1180,716.5
1181,725.0
1182,747.1
1183,974.2
1184,1015.0
1185,1048.5
1186,1064.1
1187,1073.5
1188,1085.0
1189,1089.6
1190,1083.3
1191,1086.0
1192,1088.0
1193,1090.4
1194,1098.3
1195,1258.6
1196,1338.6
1197,1285.5
1198,1201.4
1199,1106.6
1200,1052.4
1201,755.9
1202,737.0
1203,728.3
1204,725.7
1205,733.1
1206,753.4
1207,930.5
1208,972.2
1209,1005.5
1210,1029.0
1211,1039.8
1212,1050.2
1213,1048.9
1214,1043.0
1215,1044.0
1216,1047.6
1217,1045.3
1218,1042.2
1219,1204.3
1220,1320.6
1221,1273.3
1222,1187.3
1223,846.2
1224,789.7
1225,754.6
1226,736.1
1227,727.7
1228,725.3
1229,735.0
1230,759.2
1231,937.8
1232,979.0
1233,1010.1
1234,1032.8
1235,1036.6
1236,1048.2
1237,1049.2
1238,1043.4
1239,1044.4
1240,1047.2
1241,1047.2
1242,1056.7
1243,1209.0
1244,1298.7
1245,1243.6
1246,1171.8
1247,838.5
1248,787.8
1249,747.7
1250,731.3
1251,723.3
1252,722.1
1253,732.3
1254,759.4
1255,940.5
1256,977.6
1257,1006.3
1258,1025.0
1259,1028.6
1260,1035.6
1261,1040.0
1262,1036.3
1263,1032.5
1264,1036.1
1265,1047.2
1266,1083.7
1267,1257.5
1268,1290.8
1269,1225.6
1270,1153.9
1271,834.7
1272,780.5
1273,747.6
1274,729.4
1275,721.0
1276,719.4
1277,730.1
1278,756.6
1279,962.0
1280,1000.0
1281,1032.9
1282,1055.2
1283,1060.3
1284,1069.9
1285,1068.7
1286,1064.7
1287,1072.1
1288,1075.2
1289,1074.7
1290,1132.1
1291,1308.1
1292,1286.5
1293,1237.8
1294,1151.9
1295,843.4
1296,782.2
1297,748.7
1298,730.7
1299,722.2
1300,720.9
1301,732.6
1302,762.5
1303,941.6
1304,980.4
1305,1014.4
1306,1034.5
1307,1041.4
1308,1052.0
1309,1052.9
1310,1046.5
1311,1049.7
1312,1054.0
1313,1056.7
1314,1119.3
1315,1375.4
1316,1347.1
1317,1282.1
1318,1205.6
1319,834.4
1320,783.2
1321,733.8
1322,729.3
1323,719.1
1324,717.4
1325,728.6
1326,758.3
1327,987.2
1328,1021.8
1329,1059.6
1330,1083.9
1331,1086.4
1332,1095.0
1333,1096.6
1334,1090.6
1335,1093.1
1336,1097.7
1337,1101.3
1338,1145.5
1339,1395.8
1340,1386.5
1341,1341.8
1342,1249.1
1343,851.2
1344,795.6
1345,739.65
1346,717.56
1347,714.47
1348,712.86
1349,722.96
1350,751.51
1351,954.41
1352,980.4100000000001
1353,1014.95
1354,1035.1
1355,1039.1
1356,1049.41
1357,1049.53
1358,1041.05
1359,1053.48
1360,1057.98
1361,1046.69
1362,1070.65
1363,1341.87
1364,1361.02
1365,1291.0700000000002
1366,1203.48
1367,826.5
1368,770.12
1369,739.62
1370,722.73
1371,715.68
1372,714.61
1373,725.48
1374,759.17
1375,949.44
1376,976.77
1377,1010.9
1378,1027.13
1379,1037.96
1380,1041.75
1381,1037.05
1382,1042.67
1383,1045.13
1384,1038.54
1385,1030.99
1386,1028.73
1387,1293.27
1388,1375.42
1389,1322.3200000000002
1390,1219.94
1391,839.63
1392,779.29
1393,771.6
1394,752.62
1395,744.72
1396,742.43
1397,752.81
1398,767.66
1399,1007.03
1400,1042.54
1401,1061.55
1402,1094.83
1403,1109.59
1404,1117.65
1405,1116.55
1406,1104.66
1407,1110.66
1408,1116.81
1409,1117.08
1410,1119.02
1411,1326.6599999999999
1412,1400.0
1413,1382.98
1414,1283.55
1415,1169.46
1416,1104.55
1417,806.12
1418,785.31
1419,775.26
1420,766.1800000000001
1421,775.17
1422,784.78
1423,1012.38
1424,1060.21
1425,1098.43
1426,1122.46
1427,1138.73
1428,1143.66
1429,1143.88
1430,1137.43
1431,1146.21
1432,1146.67
1433,1125.63
1434,1137.53
1435,1327.62
1436,1400.0
1437,1400.0
1438,1309.99
1439,1194.67
1440,1137.8600000000001
1441,777.6
1442,757.8
1443,747.7
1444,744.2
1445,753.6
1446,770.2
1447,1000.3
1448,1040.2
1449,1075.0
1450,1093.0
1451,1103.3
1452,1117.5
1453,1114.1
1454,1108.4
1455,1111.8
1456,1116.2
1457,1108.0
1458,1108.9
1459,1292.6
1460,1399.8
1461,1338.6
1462,1254.3
1463,1163.5
1464,1103.3
1465,743.3
1466,726.4
1467,717.9
1468,716.5
1469,725.0
1470,747.1
1471,974.2
1472,1015.0
1473,1048.5
1474,1064.1
1475,1073.5
1476,1085.0
1477,1089.6
1478,1083.3
1479,1086.0
1480,1088.0
1481,1090.4
1482,1098.3
1483,1258.6
1484,1338.6
1485,1285.5
1486,1201.4
1487,1106.6
1488,1052.4
1489,755.9
1490,737.0
1491,728.3
1492,725.7
1493,733.1
1494,753.4
1495,930.5
1496,972.2
1497,1005.5
1498,1029.0
1499,1039.8
1500,1050.2
1501,1048.9
1502,1043.0
1503,1044.0
1504,1047.6
1505,1045.3
1506,1042.2
1507,1204.3
1508,1320.6
1509,1273.3
1510,1187.3
1511,846.2
1512,789.7
1513,754.6
1514,736.1
1515,727.7
1516,725.3
1517,735.0
1518,759.2
1519,937.8
1520,979.0
1521,1010.1
1522,1032.8
1523,1036.6
1524,1048.2
1525,1049.2
1526,1043.4
1527,1044.4
1528,1047.2
1529,1047.2
1530,1056.7
1531,1209.0
1532,1298.7
1533,1243.6
1534,1171.8
1535,838.5
1536,787.8
1537,747.7
1538,731.3
1539,723.3
1540,722.1
1541,732.3
1542,759.4
1543,940.5
1544,977.6
1545,1006.3
1546,1025.0
1547,1028.6
1548,1035.6
1549,1040.0
1550,1036.3
1551,1032.5
1552,1036.1
1553,1047.2
1554,1083.7
1555,1257.5
1556,1290.8
1557,1225.6
1558,1153.9
1559,834.7
1560,780.5
1561,747.6
1562,729.4
1563,721.0
1564,719.4
1565,730.1
1566,756.6
1567,962.0
1568,1000.0
1569,1032.9
1570,1055.2
1571,1060.3
1572,1069.9
1573,1068.7
1574,1064.7
1575,1072.1
1576,1075.2
1577,1074.7
1578,1132.1
1579,1308.1
1580,1286.5
1581,1237.8
1582,1151.9
1583,843.4
1584,782.2
1585,748.7
1586,730.7
1587,722.2
1588,720.9
1589,732.6
1590,762.5
1591,941.6
1592,980.4
1593,1014.4
1594,1034.5
1595,1041.4
1596,1052.0
1597,1052.9
1598,1046.5
1599,1049.7
1600,1054.0
1601,1056.7
1602,1119.3
1603,1375.4
1604,1347.1
1605,1282.1
1606,1205.6
1607,834.4
1608,783.2
1609,733.8
1610,729.3
1611,719.1
1612,717.4
1613,728.6
1614,758.3
1615,987.2
1616,1021.8
1617,1059.6
1618,1083.9
1619,1086.4
1620,1095.0
1621,1096.6
1622,1090.6
1623,1093.1
1624,1097.7
1625,1101.3
1626,1145.5
1627,1395.8
1628,1386.5
1629,1341.8
1630,1249.1
1631,851.2
1632,795.6
1633,739.65
1634,717.56
1635,714.47
1636,712.86
1637,722.96
1638,751.51
1639,954.41
1640,980.4100000000001
1641,1014.95
1642,1035.1
1643,1039.1
1644,1049.41
1645,1049.53
1646,1041.05
1647,1053.48
1648,1057.98
1649,1046.69
1650,1070.65
1651,1341.87
1652,1361.02
1653,1291.0700000000002
1654,1203.48
1655,826.5
1656,770.12
1657,739.62
1658,722.73
1659,715.68
1660,714.61
1661,725.48
1662,759.17
1663,949.44
1664,976.77
1665,1010.9
1666,1027.13
1667,1037.96
1668,1041.75
1669,1037.05
1670,1042.67
1671,1045.13
1672,1038.54
1673,1030.99
1674,1028.73
1675,1293.27
1676,1375.42
1677,1322.3200000000002
1678,1219.94
1679,839.63
1680,779.29
1681,771.6
1682,752.62
1683,744.72
1684,742.43
1685,752.81
1686,767.66
1687,1007.03
1688,1042.54
1689,1061.55
1690,1094.83
1691,1109.59
1692,1117.65
1693,1116.55
1694,1104.66
1695,1110.66
1696,1116.81
1697,1117.08
1698,1119.02
1699,1326.6599999999999
1700,1400.0
1701,1382.98
1702,1283.55
1703,1169.46
1704,1104.55
1705,806.12
1706,785.31
1707,775.26
1708,766.1800000000001
1709,775.17
1710,784.78
1711,1012.38
1712,1060.21
1713,1098.43
1714,1122.46
1715,1138.73
1716,1143.66
1717,1143.88
1718,1137.43
1719,1146.21
1720,1146.67
1721,1125.63
1722,1137.53
1723,1327.62
1724,1400.0
1725,1400.0
1726,1309.99
1727,1194.67
1728,1137.8600000000001
1729,777.6
1730,757.8
1731,747.7
1732,744.2
1733,753.6
1734,770.2
1735,1000.3
1736,1040.2
1737,1075.0
1738,1093.0
1739,1103.3
1740,1117.5
1741,1114.1
1742,1108.4
1743,1111.8
1744,1116.2
1745,1108.0
1746,1108.9
1747,1292.6
1748,1399.8
1749,1338.6
1750,1254.3
1751,1163.5
1752,1103.3
1753,743.3
1754,726.4
1755,717.9
1756,716.5
1757,725.0
1758,747.1
1759,974.2
1760,1015.0
1761,1048.5
1762,1064.1
1763,1073.5
1764,1085.0
1765,1089.6
1766,1083.3
1767,1086.0
1768,1088.0
1769,1090.4
1770,1098.3
1771,1258.6
1772,1338.6
1773,1285.5
1774,1201.4
1775,1106.6
1776,1052.4
1777,755.9
1778,737.0
1779,728.3
1780,725.7
1781,733.1
1782,753.4
1783,930.5
1784,972.2
1785,1005.5
1786,1029.0
1787,1039.8
1788,1050.2
1789,1048.9
1790,1043.0
1791,1044.0
1792,1047.6
1793,1045.3
1794,1042.2
1795,1204.3
1796,1320.6
1797,1273.3
1798,1187.3
1799,846.2
1800,789.7
1801,754.6
1802,736.1
1803,727.7
1804,725.3
1805,735.0
1806,759.2
1807,937.8
1808,979.0
1809,1010.1
1810,1032.8
1811,1036.6
1812,1048.2
1813,1049.2
1814,1043.4
1815,1044.4
1816,1047.2
1817,1047.2
1818,1056.7
1819,1209.0
1820,1298.7
1821,1243.6
1822,1171.8
1823,838.5
1824,787.8
1825,747.7
1826,731.3
1827,723.3
1828,722.1
1829,732.3
1830,759.4
1831,940.5
1832,977.6
1833,1006.3
1834,1025.0
1835,1028.6
1836,1035.6
1837,1040.0
1838,1036.3
1839,1032.5
1840,1036.1
1841,1047.2
1842,1083.7
1843,1257.5
1844,1290.8
1845,1225.6
1846,1153.9
1847,834.7
1848,780.5
1849,747.6
1850,729.4
1851,721.0
1852,719.4
1853,730.1
1854,756.6
1855,962.0
1856,1000.0
1857,1032.9
1858,1055.2
1859,1060.3
1860,1069.9
1861,1068.7
1862,1064.7
1863,1072.1
1864,1075.2
1865,1074.7
1866,1132.1
1867,1308.1
1868,1286.5
1869,1237.8
1870,1151.9
1871,843.4
1872,782.2
1873,748.7
1874,730.7
1875,722.2
1876,720.9
1877,732.6
1878,762.5
1879,941.6
1880,980.4
1881,1014.4
1882,1034.5
1883,1041.4
1884,1052.0
1885,1052.9
1886,1046.5
1887,1049.7
1888,1054.0
1889,1056.7
1890,1119.3
1891,1375.4
1892,1347.1
1893,1282.1
1894,1205.6
1895,834.4
1896,783.2
1897,733.8
1898,729.3
1899,719.1
1900,717.4
1901,728.6
1902,758.3
1903,987.2
1904,1021.8
1905,1059.6
1906,1083.9
1907,1086.4
1908,1095.0
1909,1096.6
1910,1090.6
1911,1093.1
1912,1097.7
1913,1101.3
1914,1145.5
1915,1395.8
1916,1386.5
1917,1341.8
1918,1249.1
1919,851.2
1920,795.6
1921,739.65
1922,717.56
1923,714.47
1924,712.86
1925,722.96
1926,751.51
1927,954.41
1928,980.4100000000001
1929,1014.95
1930,1035.1
1931,1039.1
1932,1049.41
1933,1049.53
1934,1041.05
1935,1053.48
1936,1057.98
1937,1046.69
1938,1070.65
1939,1341.87
1940,1361.02
1941,1291.0700000000002
1942,1203.48
1943,826.5
1944,770.12
1945,739.62
1946,722.73
1947,715.68
1948,714.61
1949,725.48
1950,759.17
1951,949.44
1952,976.77
1953,1010.9
1954,1027.13
1955,1037.96
1956,1041.75
1957,1037.05
1958,1042.67
1959,1045.13
1960,1038.54
1961,1030.99
1962,1028.73
1963,1293.27
1964,1375.42
1965,1322.3200000000002
1966,1219.94
1967,839.63
1968,779.29
1969,771.6
1970,752.62
1971,744.72
1972,742.43
1973,752.81
1974,767.66
1975,1007.03
1976,1042.54
1977,1061.55
1978,1094.83
1979,1109.59
1980,1117.65
1981,1116.55
1982,1104.66
1983,1110.66
1984,1116.81
1985,1117.08
1986,1119.02
1987,1326.6599999999999
1988,1400.0
1989,1382.98
1990,1283.55
1991,1169.46
1992,1104.55
1993,806.12
1994,785.31
1995,775.26
1996,766.1800000000001
1997,775.17
1998,784.78
1999,1012.38
2000,1060.21
2001,1098.43
2002,1122.46
2003,1138.73
2004,1143.66
2005,1143.88
2006,1137.43
2007,1146.21
2008,1146.67
2009,1125.63
2010,1137.53
