mechanism_period,month,hour,energy_requirement
PM1,1,22,319.8
PM1,1,23,120
PM1,1,24,69
PM1,2,1,45.8
PM1,2,2,29.2
PM1,2,3,17.1
PM1,2,4,16.1
PM1,2,5,27.5
PM1,2,6,61.1
PM1,2,7,156.8
PM1,2,8,177.8
PM1,2,9,207.9
PM1,2,10,222.4
PM1,2,11,231.8
PM1,2,12,235.9
PM1,2,13,234.5
PM1,2,14,241
PM1,2,15,244.3
PM1,2,16,239.7
PM1,2,17,235.5
PM1,2,18,241.8
PM1,2,19,403.6
PM1,2,20,478.1
PM1,2,21,428.5
PM1,2,22,334.3
PM1,2,23,133.7
PM1,2,24,79.2
PM1,3,1,77.5
PM1,3,2,58.7
PM1,3,3,45.5
PM1,3,4,45.4
PM1,3,5,57.1
PM1,3,6,70.9
PM1,3,7,195.7
PM1,3,8,224.4
PM1,3,9,241.3
PM1,3,10,274
PM1,3,11,289
PM1,3,12,296.8
PM1,3,13,296.4
PM1,3,14,285.7
PM1,3,15,291.8
PM1,3,16,299.1
PM1,3,17,304
PM1,3,18,311.8
PM1,3,19,426.8
PM1,3,20,500
PM1,3,21,475.2
PM1,3,22,383.5
PM1,3,23,362.2
PM1,3,24,303.1
PM1,4,1,107.8
PM1,4,2,87.2
PM1,4,3,76.2
PM1,4,4,64.1
PM1,4,5,76.4
PM1,4,6,85.5
PM1,4,7,203.8
PM1,4,8,245
PM1,4,9,282.2
PM1,4,10,303.6
PM1,4,11,317.8
PM1,4,12,323.3
PM1,4,13,323.8
PM1,4,14,318.6
PM1,4,15,328.2
PM1,4,16,330.6
PM1,4,17,316.8
PM1,4,18,331.4
PM1,4,19,428.3
PM1,4,20,500
PM1,4,21,491.9
PM1,4,22,406.4
PM1,4,23,384
PM1,4,24,331.7
PM2,5,1,110.1
PM2,5,2,90.7
PM2,5,3,80.9
PM2,5,4,77.4
PM2,5,5,86.7
PM2,5,6,103
PM2,5,7,309.5
PM2,5,8,348.6
PM2,5,9,382.7
PM2,5,10,397.3
PM2,5,11,407.4
PM2,5,12,421.3
PM2,5,13,417.9
PM2,5,14,412.3
PM2,5,15,415.7
PM2,5,16,420
PM2,5,17,411.9
PM2,5,18,412.7
PM2,5,19,570.8
PM2,5,20,676
PM2,5,21,615.9
PM2,5,22,533.6
PM2,5,23,461.2
PM2,5,24,402.3
PM2,6,1,73.7
PM2,6,2,57.1
PM2,6,3,48.8
PM2,6,4,47.4
PM2,6,5,55.8
PM2,6,6,77.5
PM2,6,7,268.4
PM2,6,8,308.4
PM2,6,9,341.1
PM2,6,10,356.2
PM2,6,11,365.3
PM2,6,12,376.5
PM2,6,13,381.2
PM2,6,14,375
PM2,6,15,377.6
PM2,6,16,379.6
PM2,6,17,382
PM2,6,18,400.9
PM2,6,19,539.2
PM2,6,20,617
PM2,6,21,565.1
PM2,6,22,483
PM2,6,23,403.9
PM2,6,24,351.1
PM2,7,1,83.4
PM2,7,2,65
PM2,7,3,56.4
PM2,7,4,53.9
PM2,7,5,61.2
PM2,7,6,81.1
PM2,7,7,229.5
PM2,7,8,270.4
PM2,7,9,302.9
PM2,7,10,325.9
PM2,7,11,336.3
PM2,7,12,346.5
PM2,7,13,345.3
PM2,7,14,339.5
PM2,7,15,340.6
PM2,7,16,344
PM2,7,17,341.7
PM2,7,18,349.6
PM2,7,19,488
PM2,7,20,601.8
PM2,7,21,555.5
PM2,7,22,471.6
PM2,7,23,171.7
PM2,7,24,116.7
PM2,8,1,81.7
PM2,8,2,63.6
PM2,8,3,55.3
PM2,8,4,53
PM2,8,5,62.5
PM2,8,6,86.3
PM2,8,7,236.7
PM2,8,8,277.2
PM2,8,9,307.5
PM2,8,10,329.6
PM2,8,11,333.1
PM2,8,12,344.5
PM2,8,13,345.5
PM2,8,14,339.8
PM2,8,15,340.8
PM2,8,16,343.4
PM2,8,17,343.6
PM2,8,18,364.1
PM2,8,19,495.2
PM2,8,20,583
PM2,8,21,529.1
PM2,8,22,459.2
PM2,8,23,163.6
PM2,8,24,114.2
PM2,9,1,77.6
PM2,9,2,53.9
PM2,9,3,46
PM2,9,4,44.9
PM2,9,5,54.9
PM2,9,6,81.5
PM2,9,7,239
PM2,9,8,275.4
PM2,9,9,303.4
PM2,9,10,321.8
PM2,9,11,325
PM2,9,12,331.8
PM2,9,13,336.2
PM2,9,14,332.5
PM2,9,15,328.6
PM2,9,16,332.1
PM2,9,17,343.3
PM2,9,18,390.4
PM2,9,19,542.5
PM2,9,20,574.9
PM2,9,21,511.1
PM2,9,22,441.3
PM2,9,23,156.2
PM2,9,24,103.2
PM2,10,1,77.6
PM2,10,2,59.8
PM2,10,3,43.3
PM2,10,4,41.6
PM2,10,5,52.1
PM2,10,6,78.1
PM2,10,7,257.7
PM2,10,8,294.7
PM2,10,9,326.9
PM2,10,10,348.8
PM2,10,11,353.5
PM2,10,12,363
PM2,10,13,361.7
PM2,10,14,357.8
PM2,10,15,365.2
PM2,10,16,368.2
PM2,10,17,378.6
PM2,10,18,423.8
PM2,10,19,591.9
PM2,10,20,570.8
PM2,10,21,523.5
PM2,10,22,439.5
PM2,10,23,163.1
PM2,10,24,103.1
PM2,11,1,74.9
PM2,11,2,57.2
PM2,11,3,48.9
PM2,11,4,47.6
PM2,11,5,59.1
PM2,11,6,88.4
PM2,11,7,240.3
PM2,11,8,278.2
PM2,11,9,311.4
PM2,11,10,331.1
PM2,11,11,337.7
PM2,11,12,348
PM2,11,13,348.9
PM2,11,14,342.6
PM2,11,15,345.7
PM2,11,16,350
PM2,11,17,352.6
PM2,11,18,414.1
PM2,11,19,653.1
PM2,11,20,625.6
PM2,11,21,561.6
PM2,11,22,487
PM2,11,23,158.7
PM2,11,24,108.6
PM2,12,1,64.6
PM2,12,2,60.4
PM2,12,3,50.4
PM2,12,4,48.8
PM2,12,5,59.8
PM2,12,6,88.9
PM2,12,7,281.8
PM2,12,8,315.5
PM2,12,9,352.5
PM2,12,10,376.4
PM2,12,11,378.5
PM2,12,12,387.1
PM2,12,13,388.6
PM2,12,14,382.6
PM2,12,15,385.2
PM2,12,16,389.7
PM2,12,17,393.3
PM2,12,18,436.5
PM2,12,19,671.8
PM2,12,20,663.1
PM2,12,21,619.4
PM2,12,22,528.7
PM2,12,23,179.8
PM2,12,24,125.4
PM2,1,1,70
PM2,1,2,47.9
PM2,1,3,43.4
PM2,1,4,41.8
PM2,1,5,51.7
PM2,1,6,79.4
PM2,1,7,253.4
PM2,1,8,279.9
PM2,1,9,313.5
PM2,1,10,332.9
PM2,1,11,336.8
PM2,1,12,346.9
PM2,1,13,347.1
PM2,1,14,339
PM2,1,15,350.4
PM2,1,16,354.7
PM2,1,17,346
PM2,1,18,373.9
PM2,1,19,618.1
PM2,1,20,639
PM2,1,21,571.5
PM2,1,22,486.4
PM2,1,23,151.9
PM2,1,24,97.2
PM2,2,1,69.3
PM2,2,2,51.8
PM2,2,3,43.6
PM2,2,4,42.5
PM2,2,5,53.1
PM2,2,6,85.5
PM2,2,7,247.2
PM2,2,8,274.9
PM2,2,9,308.1
PM2,2,10,324.3
PM2,2,11,334.3
PM2,2,12,338.5
PM2,2,13,334.4
PM2,2,14,339
PM2,2,15,341.4
PM2,2,16,335.7
PM2,2,17,330.6
PM2,2,18,335.3
PM2,2,19,574.3
PM2,2,20,651.9
PM2,2,21,599.7
PM2,2,22,501.1
PM2,2,23,163.6
PM2,2,24,105.2
PM2,3,1,98.1
PM2,3,2,78.5
PM2,3,3,69.3
PM2,3,4,67.1
PM2,3,5,77.3
PM2,3,6,92.8
PM2,3,7,298.7
PM2,3,8,333.9
PM2,3,9,353.7
PM2,3,10,385.4
PM2,3,11,398.9
PM2,3,12,407
PM2,3,13,406.1
PM2,3,14,394.9
PM2,3,15,400.5
PM2,3,16,406.3
PM2,3,17,408.6
PM2,3,18,417.1
PM2,3,19,605.1
PM2,3,20,700
PM2,3,21,654.9
PM2,3,22,558.7
PM2,3,23,463.9
PM2,3,24,399.7
PM2,4,1,129.4
PM2,4,2,107.9
PM2,4,3,96.5
PM2,4,4,88.2
PM2,4,5,97.2
PM2,4,6,108.1
PM2,4,7,303.6
PM2,4,8,349.8
PM2,4,9,386.9
PM2,4,10,410.3
PM2,4,11,425.1
PM2,4,12,430.4
PM2,4,13,430.7
PM2,4,14,424.4
PM2,4,15,432.5
PM2,4,16,433.2
PM2,4,17,416.6
PM2,4,18,433.6
PM2,4,19,606.8
PM2,4,20,700
PM2,4,21,672.4
PM2,4,22,582.6
PM2,4,23,486.5
PM2,4,24,429.5
PM3,5,1,77.6
PM3,5,2,57.8
PM3,5,3,47.7
PM3,5,4,44.2
PM3,5,5,53.6
PM3,5,6,70.2
PM3,5,7,300.3
PM3,5,8,340.2
PM3,5,9,375
PM3,5,10,393
PM3,5,11,403.3
PM3,5,12,417.5
PM3,5,13,414.1
PM3,5,14,408.4
PM3,5,15,411.8
PM3,5,16,416.2
PM3,5,17,408
PM3,5,18,408.9
PM3,5,19,592.6
PM3,5,20,699.8
PM3,5,21,638.6
PM3,5,22,554.3
PM3,5,23,463.5
PM3,5,24,403.3
PM3,6,1,43.3
PM3,6,2,26.4
PM3,6,3,17.9
PM3,6,4,16.5
PM3,6,5,25
PM3,6,6,47.1
PM3,6,7,274.2
PM3,6,8,315
PM3,6,9,348.5
PM3,6,10,364.1
PM3,6,11,373.5
PM3,6,12,385
PM3,6,13,389.6
PM3,6,14,383.3
PM3,6,15,386
PM3,6,16,388
PM3,6,17,390.4
PM3,6,18,398.3
PM3,6,19,558.6
PM3,6,20,638.6
PM3,6,21,585.5
PM3,6,22,501.4
PM3,6,23,406.6
PM3,6,24,352.4
PM3,7,1,55.9
PM3,7,2,37
PM3,7,3,28.3
PM3,7,4,25.7
PM3,7,5,33.1
PM3,7,6,53.4
PM3,7,7,230.5
PM3,7,8,272.2
PM3,7,9,305.5
PM3,7,10,329
PM3,7,11,339.8
PM3,7,12,350.2
PM3,7,13,348.9
PM3,7,14,343
PM3,7,15,344
PM3,7,16,347.6
PM3,7,17,345.3
PM3,7,18,342.2
PM3,7,19,504.3
PM3,7,20,620.6
PM3,7,21,573.3
PM3,7,22,487.3
PM3,7,23,146.2
PM3,7,24,89.7
PM3,8,1,54.6
PM3,8,2,36.1
PM3,8,3,27.7
PM3,8,4,25.3
PM3,8,5,35
PM3,8,6,59.2
PM3,8,7,237.8
PM3,8,8,279
PM3,8,9,310.1
PM3,8,10,332.8
PM3,8,11,336.6
PM3,8,12,348.2
PM3,8,13,349.2
PM3,8,14,343.4
PM3,8,15,344.4
PM3,8,16,347.2
PM3,8,17,347.2
PM3,8,18,356.7
PM3,8,19,509
PM3,8,20,598.7
PM3,8,21,543.6
PM3,8,22,471.8
PM3,8,23,138.5
PM3,8,24,87.8
PM3,9,1,47.7
PM3,9,2,31.3
PM3,9,3,23.3
PM3,9,4,22.1
PM3,9,5,32.3
PM3,9,6,59.4
PM3,9,7,240.5
PM3,9,8,277.6
PM3,9,9,306.3
PM3,9,10,325
PM3,9,11,328.6
PM3,9,12,335.6
PM3,9,13,340
PM3,9,14,336.3
PM3,9,15,332.5
PM3,9,16,336.1
PM3,9,17,347.2
PM3,9,18,383.7
PM3,9,19,557.5
PM3,9,20,590.8
PM3,9,21,525.6
PM3,9,22,453.9
PM3,9,23,134.7
PM3,9,24,80.5
PM3,10,1,47.6
PM3,10,2,29.4
PM3,10,3,21
PM3,10,4,19.4
PM3,10,5,30.1
PM3,10,6,56.6
PM3,10,7,262
PM3,10,8,300
PM3,10,9,332.9
PM3,10,10,355.2
PM3,10,11,360.3
PM3,10,12,369.9
PM3,10,13,368.7
PM3,10,14,364.7
PM3,10,15,372.1
PM3,10,16,375.2
PM3,10,17,374.7
PM3,10,18,432.1
PM3,10,19,608.1
PM3,10,20,586.5
PM3,10,21,537.8
PM3,10,22,451.9
PM3,10,23,143.4
PM3,10,24,82.2
PM3,11,1,48.7
PM3,11,2,30.7
PM3,11,3,22.2
PM3,11,4,20.9
PM3,11,5,32.6
PM3,11,6,62.5
PM3,11,7,241.6
PM3,11,8,280.4
PM3,11,9,314.4
PM3,11,10,334.5
PM3,11,11,341.4
PM3,11,12,352
PM3,11,13,352.9
PM3,11,14,346.5
PM3,11,15,349.7
PM3,11,16,354
PM3,11,17,356.7
PM3,11,18,419.3
PM3,11,19,675.4
PM3,11,20,647.1
PM3,11,21,582.1
PM3,11,22,505.6
PM3,11,23,134.4
PM3,11,24,83.2
PM3,12,1,33.8
PM3,12,2,29.3
PM3,12,3,19.1
PM3,12,4,17.4
PM3,12,5,28.6
PM3,12,6,58.3
PM3,12,7,287.2
PM3,12,8,321.8
PM3,12,9,359.6
PM3,12,10,383.9
PM3,12,11,386.4
PM3,12,12,395
PM3,12,13,396.6
PM3,12,14,390.6
PM3,12,15,393.1
PM3,12,16,397.7
PM3,12,17,401.3
PM3,12,18,445.5
PM3,12,19,695.8
PM3,12,20,686.5
PM3,12,21,641.8
PM3,12,22,549.1
PM3,12,23,151.2
PM3,12,24,95.6
PM3,1,1,39.65
PM3,1,2,17.56
PM3,1,3,14.47
PM3,1,4,12.86
PM3,1,5,22.96
PM3,1,6,51.51
PM3,1,7,254.41
PM3,1,8,280.41
PM3,1,9,314.95
PM3,1,10,335.1
PM3,1,11,339.1
PM3,1,12,349.41
PM3,1,13,349.53
PM3,1,14,341.05
PM3,1,15,353.48
PM3,1,16,357.98
PM3,1,17,346.69
PM3,1,18,370.65
PM3,1,19,641.87
PM3,1,20,661.02
PM3,1,21,591.07
PM3,1,22,503.48
PM3,1,23,126.5
PM3,1,24,70.12
PM3,2,1,39.62
PM3,2,2,22.73
PM3,2,3,15.68
PM3,2,4,14.61
PM3,2,5,25.48
PM3,2,6,59.17
PM3,2,7,249.44
PM3,2,8,276.77
PM3,2,9,310.9
PM3,2,10,327.13
PM3,2,11,337.96
PM3,2,12,341.75
PM3,2,13,337.05
PM3,2,14,342.67
PM3,2,15,345.13
PM3,2,16,338.54
PM3,2,17,330.99
PM3,2,18,328.73
PM3,2,19,593.27
PM3,2,20,675.42
PM3,2,21,622.32
PM3,2,22,519.94
PM3,2,23,139.63
PM3,2,24,79.29
PM3,3,1,71.6
PM3,3,2,52.62
PM3,3,3,44.72
PM3,3,4,42.43
PM3,3,5,52.81
PM3,3,6,67.66
PM3,3,7,307.03
PM3,3,8,342.54
PM3,3,9,361.55
PM3,3,10,394.83
PM3,3,11,409.59
PM3,3,12,417.65
PM3,3,13,416.55
PM3,3,14,404.66
PM3,3,15,410.66
PM3,3,16,416.81
PM3,3,17,417.08
PM3,3,18,419.02
PM3,3,19,626.66
PM3,3,20,700
PM3,3,21,682.98
PM3,3,22,583.55
PM3,3,23,469.46
PM3,3,24,404.55
PM3,4,1,106.12
PM3,4,2,85.31
PM3,4,3,75.26
PM3,4,4,66.18
PM3,4,5,75.17
PM3,4,6,84.78
PM3,4,7,312.38
PM3,4,8,360.21
PM3,4,9,398.43
PM3,4,10,422.46
PM3,4,11,438.73
PM3,4,12,443.66
PM3,4,13,443.88
PM3,4,14,437.43
PM3,4,15,446.21
PM3,4,16,446.67
PM3,4,17,425.63
PM3,4,18,437.53
PM3,4,19,627.62
PM3,4,20,700
PM3,4,21,700
PM3,4,22,609.99
PM3,4,23,494.67
PM3,4,24,437.86
